epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,2192.84,2.1668,5.65094,2.30757,0.31123,0.26238,0.25975,0.11311,1.80761,6.48377,1.96549,0.007228,0.007228,0.007228
58,2230.54,2.12974,5.69974,2.27102,0.26648,0.21833,0.20647,0.08095,1.81467,6.05935,1.96316,0.0071785,0.0071785,0.0071785
59,2267.31,2.13406,5.56031,2.25811,0.36675,0.19814,0.23019,0.09536,1.79953,7.46463,1.92883,0.007129,0.007129,0.007129
60,2304.39,2.1608,5.64377,2.29018,0.22611,0.26346,0.238,0.10327,1.777,6.93676,1.94046,0.0070795,0.0070795,0.0070795
61,2341.03,2.1336,5.58675,2.26494,0.26109,0.23047,0.2486,0.10442,1.77507,6.00679,1.90812,0.00703,0.00703,0.00703
62,2378.38,2.12117,5.5071,2.23987,0.32389,0.22548,0.21579,0.09353,1.81044,6.77058,1.94063,0.0069805,0.0069805,0.0069805
63,2415.2,2.09127,5.33993,2.23676,0.79464,0.1875,0.24277,0.0968,1.77221,6.17968,1.88913,0.006931,0.006931,0.006931
64,2452.08,2.09365,5.43982,2.21533,0.3012,0.22746,0.25117,0.1057,1.72079,6.04202,1.84092,0.0068815,0.0068815,0.0068815
65,2489.07,2.071,5.31566,2.2014,0.28059,0.21875,0.25555,0.10503,1.71859,6.3253,1.86326,0.006832,0.006832,0.006832
66,2525.75,2.07253,5.26488,2.19386,0.76294,0.23828,0.27295,0.11424,1.79882,5.69586,1.89867,0.0067825,0.0067825,0.0067825
67,2562.26,2.06437,5.31987,2.19006,0.4039,0.22615,0.24574,0.10583,1.7498,5.57222,1.90723,0.006733,0.006733,0.006733
68,2599.01,2.08621,5.21739,2.19151,0.37571,0.2573,0.25534,0.10435,1.66049,7.59933,1.81914,0.0066835,0.0066835,0.0066835
69,2635.36,2.04348,5.11061,2.16944,0.47516,0.27128,0.25291,0.11017,1.64772,6.86131,1.81829,0.006634,0.006634,0.006634
70,2675.18,2.06561,5.1271,2.17992,0.34245,0.35397,0.32471,0.1283,1.71949,6.49478,1.83641,0.0065845,0.0065845,0.0065845
71,2720.79,2.03914,5.08717,2.15826,0.47642,0.25956,0.27791,0.12089,1.74256,6.16077,1.8813,0.006535,0.006535,0.006535
