epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,8111.33,1.60287,1.60888,1.70165,0.41896,0.33779,0.29869,0.11902,2.36763,2.81179,2.44728,0.0020104,0.0020104,0.0020104
110,8185.61,1.60472,1.6163,1.68434,0.41405,0.31859,0.28637,0.11801,2.36422,2.79542,2.47872,0.0019642,0.0019642,0.0019642
111,8259.24,1.58012,1.60782,1.68526,0.40419,0.33303,0.29376,0.11888,2.34101,2.82627,2.47928,0.001918,0.001918,0.001918
112,8332.88,1.59952,1.58569,1.68211,0.41919,0.3153,0.28236,0.11396,2.34587,2.78805,2.46905,0.0018718,0.0018718,0.0018718
113,8406.35,1.56329,1.58804,1.65981,0.3924,0.32656,0.27664,0.11208,2.34373,2.77977,2.46244,0.0018256,0.0018256,0.0018256
114,8480.16,1.58264,1.57702,1.69285,0.39456,0.32753,0.27411,0.1127,2.35628,2.80496,2.46602,0.0017794,0.0017794,0.0017794
115,8553.85,1.58751,1.5761,1.68211,0.39191,0.3313,0.27843,0.11456,2.34182,2.82359,2.46426,0.0017332,0.0017332,0.0017332
116,8628.16,1.58094,1.5542,1.67121,0.41758,0.30771,0.28404,0.12085,2.3355,2.80447,2.46608,0.001687,0.001687,0.001687
117,8701.92,1.52807,1.48291,1.65472,0.40404,0.31406,0.26455,0.1106,2.34359,2.879,2.45041,0.0016408,0.0016408,0.0016408
118,8775.6,1.53288,1.49189,1.65056,0.44646,0.28982,0.27534,0.11535,2.35808,2.88187,2.50342,0.0015946,0.0015946,0.0015946
119,8849.79,1.51522,1.49672,1.63641,0.38514,0.32425,0.27702,0.11489,2.36988,2.87325,2.52251,0.0015484,0.0015484,0.0015484
120,8924.93,1.51203,1.49109,1.61287,0.39907,0.32505,0.27288,0.1116,2.35461,2.91153,2.52372,0.0015022,0.0015022,0.0015022
121,8998.86,1.48957,1.45909,1.60631,0.40694,0.35183,0.2933,0.12086,2.36247,2.80136,2.54227,0.001456,0.001456,0.001456
122,9074.04,1.49411,1.44125,1.60533,0.41543,0.32877,0.28943,0.11984,2.34879,2.92993,2.53135,0.0014098,0.0014098,0.0014098
123,9147.53,1.49809,1.43903,1.61971,0.39642,0.33755,0.29116,0.1192,2.35056,2.92012,2.51809,0.0013636,0.0013636,0.0013636
124,9221.58,1.4782,1.42648,1.60574,0.35648,0.3618,0.28265,0.12024,2.34214,2.90094,2.51479,0.0013174,0.0013174,0.0013174
125,9294.85,1.45616,1.40671,1.5735,0.42013,0.31094,0.28515,0.11908,2.33742,2.8853,2.5297,0.0012712,0.0012712,0.0012712
126,9369.98,1.45908,1.39695,1.58128,0.40918,0.33033,0.28549,0.12044,2.36453,2.8937,2.52981,0.001225,0.001225,0.001225
127,9444.15,1.44693,1.41217,1.58947,0.39191,0.31845,0.27978,0.11878,2.32695,2.89308,2.50397,0.0011788,0.0011788,0.0011788
128,9517.96,1.45057,1.39711,1.58124,0.404,0.32786,0.28141,0.12243,2.33514,2.91484,2.51737,0.0011326,0.0011326,0.0011326
129,9592.54,1.44903,1.37225,1.55183,0.43648,0.31767,0.28889,0.12488,2.35614,2.88679,2.54739,0.0010864,0.0010864,0.0010864
130,9666.78,1.44431,1.41329,1.56734,0.43463,0.30846,0.28707,0.12252,2.35593,2.95166,2.5463,0.0010402,0.0010402,0.0010402
131,9739.8,1.42436,1.35866,1.55726,0.42298,0.31816,0.28977,0.12302,2.3545,2.91522,2.5774,0.000994,0.000994,0.000994
132,9813.91,1.38641,1.33499,1.54437,0.41908,0.33098,0.29413,0.12613,2.35225,2.89865,2.57302,0.0009478,0.0009478,0.0009478
133,9887.94,1.40392,1.31695,1.54029,0.45268,0.31322,0.29544,0.12602,2.34647,2.92004,2.5667,0.0009016,0.0009016,0.0009016
134,9962.65,1.38262,1.30488,1.53626,0.47215,0.31908,0.29394,0.12419,2.35993,2.92935,2.59468,0.0008554,0.0008554,0.0008554
135,10036.3,1.39325,1.32517,1.53662,0.44179,0.31422,0.28964,0.12161,2.35361,2.94798,2.58483,0.0008092,0.0008092,0.0008092
136,10110.9,1.37335,1.26674,1.52478,0.4558,0.30575,0.28164,0.12081,2.35706,2.95532,2.61658,0.000763,0.000763,0.000763
137,10185.5,1.38855,1.28807,1.54566,0.43603,0.3139,0.28383,0.12341,2.3525,2.93491,2.60112,0.0007168,0.0007168,0.0007168
138,10259.2,1.39105,1.30141,1.53312,0.43033,0.3128,0.27753,0.11884,2.36086,2.93552,2.60433,0.0006706,0.0006706,0.0006706
139,10334.2,1.34951,1.25761,1.49044,0.40982,0.32877,0.27822,0.1195,2.36873,2.91438,2.63323,0.0006244,0.0006244,0.0006244
140,10411.6,1.37303,1.26396,1.51999,0.44347,0.32392,0.2875,0.11999,2.36858,2.91381,2.60775,0.0005782,0.0005782,0.0005782
141,10491.8,1.32608,1.22747,1.47718,0.45489,0.32568,0.2923,0.12418,2.38299,2.92623,2.62501,0.000532,0.000532,0.000532
142,10569.1,1.3331,1.20281,1.48453,0.4647,0.30749,0.28859,0.12256,2.39388,2.91175,2.66241,0.0004858,0.0004858,0.0004858
143,10644.5,1.31678,1.18697,1.46949,0.42878,0.31923,0.29233,0.12314,2.39691,2.91851,2.66301,0.0004396,0.0004396,0.0004396
144,10721.7,1.31061,1.20786,1.46114,0.43797,0.30921,0.28426,0.12242,2.4031,2.93238,2.66963,0.0003934,0.0003934,0.0003934
145,10798,1.32105,1.21482,1.47953,0.44793,0.3222,0.28664,0.12325,2.39249,2.93123,2.66509,0.0003472,0.0003472,0.0003472
146,10874,1.31528,1.18582,1.47006,0.42609,0.32441,0.28626,0.12278,2.3942,2.92361,2.66812,0.000301,0.000301,0.000301
147,10950,1.31815,1.20029,1.4685,0.43066,0.32032,0.28609,0.12293,2.40486,2.947,2.67285,0.0002548,0.0002548,0.0002548
148,11024.5,1.30887,1.20681,1.4724,0.44053,0.31471,0.28534,0.12319,2.40085,2.94637,2.65891,0.0002086,0.0002086,0.0002086
149,11098.6,1.30255,1.18122,1.46101,0.41706,0.31945,0.28463,0.12294,2.40067,2.95164,2.66118,0.0001624,0.0001624,0.0001624
150,11172.2,1.29566,1.16344,1.45096,0.4268,0.31672,0.28836,0.12225,2.41247,2.93799,2.68556,0.0001162,0.0001162,0.0001162
